
1.97	,	0.0733	,	0.0335	,	0.9163
1.969	,	0.0747	,	0.0264	,	0.9339
1.969	,	0.0761	,	0.0194	,	0.9515
1.968	,	0.0775	,	0.0123	,	0.9692
1.968	,	0.0783	,	0.0084	,	0.9789
1.972	,	0.0768	,	0.016	,	0.9596
1.976	,	0.0752	,	0.0235	,	0.9404
1.98	,	0.0737	,	0.0311	,	0.9212
1.984	,	0.0722	,	0.0386	,	0.902
1.985	,	0.0727	,	0.0362	,	0.9082
1.987	,	0.0732	,	0.0335	,	0.9151
1.988	,	0.0738	,	0.0308	,	0.922
1.99	,	0.0743	,	0.0281	,	0.9288
1.991	,	0.0749	,	0.0251	,	0.9365
1.993	,	0.0756	,	0.022	,	0.9444
1.994	,	0.0762	,	0.0189	,	0.9523
1.995	,	0.0768	,	0.0158	,	0.9602
1.995	,	0.0774	,	0.0128	,	0.9678
1.994	,	0.078	,	0.0098	,	0.9753
1.992	,	0.0786	,	0.0068	,	0.9828
1.991	,	0.0792	,	0.0039	,	0.9903
1.991	,	0.0796	,	0.002	,	0.9951
1.995	,	0.0794	,	0.0032	,	0.9919
1.999	,	0.0791	,	0.0045	,	0.9887
2.003	,	0.0788	,	0.0058	,	0.9855
2.008	,	0.0786	,	0.007	,	0.9823
2.01	,	0.0787	,	0.0066	,	0.9833
2.013	,	0.0787	,	0.0062	,	0.9843
2.015	,	0.0788	,	0.0059	,	0.9853
2.018	,	0.0789	,	0.0055	,	0.9862
2.022	,	0.0786	,	0.007	,	0.9822
2.028	,	0.0781	,	0.0091	,	0.9768
2.034	,	0.0777	,	0.0112	,	0.9712
2.039	,	0.0773	,	0.0133	,	0.9657
2.043	,	0.0772	,	0.0134	,	0.9656
2.044	,	0.0776	,	0.0116	,	0.9702
2.046	,	0.078	,	0.0098	,	0.9749
2.047	,	0.0784	,	0.0079	,	0.9796
2.05	,	0.0782	,	0.0086	,	0.9777
2.054	,	0.0768	,	0.0154	,	0.9596
2.058	,	0.0753	,	0.0222	,	0.9416
2.062	,	0.0739	,	0.029	,	0.9236
2.066	,	0.0723	,	0.0364	,	0.9038
2.069	,	0.0678	,	0.0564	,	0.8481
2.072	,	0.0634	,	0.0765	,	0.7922
2.075	,	0.0589	,	0.0966	,	0.7362
2.078	,	0.0544	,	0.1168	,	0.68
2.083	,	0.0453	,	0.155	,	0.5658
2.089	,	0.035	,	0.1974	,	0.4381
2.094	,	0.0248	,	0.2398	,	0.3105
2.1	,	0.0146	,	0.2822	,	0.1828
2.103	,	0.0102	,	0.3004	,	0.1273
2.104	,	0.0101	,	0.3003	,	0.1264
2.104	,	0.01	,	0.3003	,	0.1255
2.105	,	0.01	,	0.3002	,	0.1246
2.105	,	0.0136	,	0.285	,	0.1696
2.101	,	0.0246	,	0.2391	,	0.3075
2.097	,	0.0356	,	0.1933	,	0.4455
2.094	,	0.0467	,	0.1474	,	0.5836
2.09	,	0.0572	,	0.1034	,	0.7154
2.09	,	0.0625	,	0.0794	,	0.7816
2.09	,	0.0678	,	0.0555	,	0.8477
2.09	,	0.0731	,	0.0315	,	0.9137
2.09	,	0.0784	,	0.0076	,	0.9797
2.092	,	0.0792	,	0.004	,	0.9897
2.093	,	0.0792	,	0.0039	,	0.9899
2.094	,	0.0792	,	0.0038	,	0.9902
2.096	,	0.0792	,	0.0037	,	0.9904
2.097	,	0.0792	,	0.0038	,	0.9902
2.099	,	0.0792	,	0.004	,	0.9895
2.101	,	0.0791	,	0.0042	,	0.9889
2.102	,	0.0791	,	0.0044	,	0.9883
2.104	,	0.079	,	0.0045	,	0.9879
2.105	,	0.079	,	0.0045	,	0.988
2.107	,	0.079	,	0.0045	,	0.988
2.108	,	0.079	,	0.0045	,	0.988
2.109	,	0.0783	,	0.0077	,	0.979
2.11	,	0.073	,	0.0316	,	0.9125
2.11	,	0.0677	,	0.0554	,	0.8459
2.11	,	0.0623	,	0.0793	,	0.7793
2.111	,	0.057	,	0.1033	,	0.7125
2.114	,	0.048	,	0.139	,	0.6005
