effporosity	Vshale		Class(Shale=1,SS=0)
9.59	,	64.87	,	1
4.86	,	82.8	,	1
3.41	,	88.32	,	1
3.52	,	87.92	,	1
3.62	,	87.53	,	1
3.73	,	87.12	,	1
3.79	,	86.91	,	1
3.78	,	86.94	,	1
3.76	,	86.97	,	1
3.75	,	86.99	,	1
3.64	,	87.36	,	1
3.17	,	89.01	,	1
2.7	,	90.66	,	1
2.23	,	92.31	,	1
1.76	,	93.97	,	1
2.15	,	92.58	,	1
2.55	,	91.13	,	1
2.95	,	89.68	,	1
3.36	,	88.23	,	1
3.26	,	88.58	,	1
2.99	,	89.54	,	1
2.72	,	90.49	,	1
2.45	,	91.45	,	1
2.2	,	92.33	,	1
1.97	,	93.15	,	1
1.73	,	93.97	,	1
1.5	,	94.79	,	1
1.3	,	95.52	,	1
1.15	,	96.04	,	1
1	,	96.56	,	1
0.85	,	97.08	,	1
0.71	,	97.57	,	1
0.7	,	97.6	,	1
0.69	,	97.63	,	1
0.68	,	97.66	,	1
0.67	,	97.69	,	1
0.86	,	97.06	,	1
1.08	,	96.29	,	1
1.31	,	95.49	,	1
1.55	,	94.67	,	1
2.13	,	92.55	,	1
2.93	,	89.57	,	1
3.74	,	86.6	,	1
4.54	,	83.63	,	1
5.08	,	81.58	,	1
5.19	,	81.08	,	1
5.29	,	80.59	,	1
5.39	,	80.12	,	1
5.29	,	80.4	,	1
4.01	,	85.14	,	1
2.74	,	89.87	,	1
1.46	,	94.61	,	1
0.18	,	99.35	,	1
0.86	,	96.82	,	1
1.73	,	93.59	,	1
2.6	,	90.36	,	1
3.47	,	87.13	,	1
3.94	,	85.36	,	1
4.22	,	84.26	,	1
4.49	,	83.17	,	1
4.77	,	82.07	,	1
5.03	,	81.03	,	1
5.27	,	80.09	,	1
5.51	,	79.14	,	1
5.75	,	78.18	,	1
6.53	,	74.95	,	1
9.17	,	63.99	,	1
11.79	,	53.05	,	0
14.42	,	42.12	,	0
17.05	,	31.2	,	0
17.12	,	30.76	,	0
17.19	,	30.35	,	0
17.25	,	29.94	,	0
17.32	,	29.54	,	0
15.34	,	37.87	,	0
12.76	,	48.77	,	0
10.19	,	59.65	,	0
7.61	,	70.54	,	1
5.87	,	77.68	,	1
4.83	,	81.68	,	1
3.79	,	85.68	,	1
2.75	,	89.69	,	1
3.45	,	87.36	,	1
7.94	,	71.23	,	1
12.44	,	55.09	,	0
16.93	,	38.94	,	0
21.05	,	24.09	,	0
21.2	,	22.96	,	0
21.35	,	21.84	,	0
21.5	,	20.71	,	0
21.66	,	19.58	,	0
22.18	,	17.56	,	0
22.77	,	15.4	,	0
23.36	,	13.23	,	0
23.95	,	11.07	,	0
24	,	10.74	,	0
23.74	,	11.49	,	0
23.47	,	12.24	,	0
23.21	,	12.98	,	0
23.18	,	12.88	,	0
23.49	,	11.51	,	0
23.8	,	10.15	,	0
24.11	,	8.78	,	0
23.36	,	11.48	,	0
17.72	,	32.85	,	0
12.08	,	54.23	,	0
6.44	,	75.61	,	1
0.79	,	97.01	,	1
3.21	,	86.67	,	1
6.04	,	74.7	,	1
8.87	,	62.72	,	1
11.7	,	50.73	,	0
11.58	,	51.34	,	0
10.33	,	56.74	,	0
9.08	,	62.15	,	1
7.83	,	67.57	,	1
7.64	,	68.36	,	1
8.52	,	64.48	,	1
9.4	,	60.59	,	1
10.29	,	56.68	,	0
10.41	,	56.09	,	0
8.48	,	64.37	,	1
6.55	,	72.67	,	1
4.62	,	81	,	1
2.81	,	88.78	,	1
3.6	,	85.38	,	1
4.38	,	81.99	,	1
5.17	,	78.59	,	1
5.95	,	75.19	,	1
5.09	,	78.83	,	1
3.86	,	83.99	,	1
2.63	,	89.15	,	1
1.41	,	94.32	,	1
0.99	,	96.07	,	1
1.13	,	95.49	,	1
1.27	,	94.91	,	1
1.41	,	94.34	,	1
1.38	,	94.44	,	1
1.08	,	95.68	,	1
0.77	,	96.92	,	1
0.47	,	98.16	,	1
0.23	,	99.13	,	1
0.37	,	98.58	,	1
0.51	,	98.03	,	1
0.65	,	97.47	,	1
0.79	,	96.92	,	1
